,Unnamed: 0.1,id,path,date,url,tld,text,linklist,processed_text,lowercase,ner_ent
102,102,102,/home/michael/Desktop/attrition_analysis/2000/11/19/www.hitachi.dk/mirror.html,2000-11-19,www.hitachi.dk/,dk,"prime suspectz ownz! @%#$ @# prime
suspectz ownz#@ A dm : nothing was deleted.. only just rename buumm!.. sux microsoft server's... rulez!.. G reetz : Insanity Zine, McM4nus, Crime Boys, the-magic, ß£öwßä¢k, Nemesystm, Neon-lenz, r00t.br, VUGO e submundohacker. prime suspectz is k 4µ1k4z3 - x -s4nd3r
- ó vërk¡££ - A nIcLaToR","['http://www.apache.org', 'defaultbak.htm', 'mailto:psuspectz@mail.com']",prime suspectz ownz primesuspectz ownz dm nothing deleted rename buumm sux microsoft servers rulez g reetz insanity zine  crime boys themagic ß£öwßä¢k nemesystm neonlenz  vugo e submundohacker prime suspectz k  x  ó vërk¡££ niclator,"prime suspectz ownz! @%#$ @# prime
suspectz ownz#@ a dm : nothing was deleted.. only just rename buumm!.. sux microsoft server's... rulez!.. g reetz : insanity zine, mcm4nus, crime boys, the-magic, ß£öwßä¢k, nemesystm, neon-lenz, r00t.br, vugo e submundohacker. prime suspectz is k 4µ1k4z3 - x -s4nd3r
- ó vërk¡££ - a niclator","['suspectz ownz', 'buumm', 'microsoft', 'rulez', 'g', 'ß£öwßä¢k', 'nemesystm', 'r00t.br', 'vugo e submundohacker', 'prime suspectz', '4µ1k4z3']"
103,103,103,/home/michael/Desktop/attrition_analysis/2000/11/19/www.hitachi.dk/index.html,2000-11-19,www.hitachi.dk/,dk,"Multiple Domains! Multiple domains were hit with the same web page defacement.

Domains:
www.hitachi.dk
www.supercard.com.br",['mirror.html'],hit web page defacementdomainswwwhitachidkwwwsupercardcombr,"multiple domains! multiple domains were hit with the same web page defacement.

domains:
www.hitachi.dk
www.supercard.com.br",[]
129,129,129,/home/michael/Desktop/attrition_analysis/2000/11/21/www.manowar.dk/index.html,2000-11-21,www.manowar.dk/,dk,"prime suspectz ownz! @%#$ prime suspectz ownz A dm : nothing was deleted.. only just rename buumm!.. sux microsoft server's... rulez!.. G reetz : Insanity Zine, McM4nus, Crime Boys, the-magic, ß£öwßä¢k, Nemesystm, Neon-lenz, r00t.br, VUGO e submundohacker. prime suspectz is k 4µ1k4z3 - x -s4nd3r - ó vërk¡££ - A nIcLaToR","['http://www.apache.org', 'mailto:psuspectz@mail.com']",prime suspectz ownz prime suspectz ownz dm nothing deleted rename buumm sux microsoft servers rulez g reetz insanity zine  crime boys themagic ß£öwßä¢k nemesystm neonlenz  vugo e submundohacker prime suspectz k  x  ó vërk¡££ niclator,"prime suspectz ownz! @%#$ prime suspectz ownz a dm : nothing was deleted.. only just rename buumm!.. sux microsoft server's... rulez!.. g reetz : insanity zine, mcm4nus, crime boys, the-magic, ß£öwßä¢k, nemesystm, neon-lenz, r00t.br, vugo e submundohacker. prime suspectz is k 4µ1k4z3 - x -s4nd3r - ó vërk¡££ - a niclator","['suspectz ownz', 'buumm', 'microsoft', 'rulez', 'g', 'ß£öwßä¢k', 'nemesystm', 'r00t.br', 'vugo e submundohacker', 'prime suspectz', '4µ1k4z3']"
869,869,869,/home/michael/Desktop/attrition_analysis/2000/11/16/www.exxtreme.dk/index.html,2000-11-16,www.exxtreme.dk/,dk,"NiTR8 was here ..::
                Owned By Quit Crew ::.. Peace
                to : Butcher, BioWin, MrsPara, Lemon-And-Lime,
                TheGrimPhreaker, D-Matz, ['xtc'], roots, JanisJ,
                Magnetic_G, Sapphyra, shz, ZoOMGuY, dodi, GForce.",[], owned quit crew peace butcher biowin mrspara lemonandlime thegrimphreaker dmatz xtc roots janisj magneticg sapphyra shz zoomguy dodi gforce,"nitr8 was here ..::
                owned by quit crew ::.. peace
                to : butcher, biowin, mrspara, lemon-and-lime,
                thegrimphreaker, d-matz, ['xtc'], roots, janisj,
                magnetic_g, sapphyra, shz, zoomguy, dodi, gforce.","['nitr8', 'mrspara', 'janisj', 'shz', 'zoomguy']"
1173,1173,1173,/home/michael/Desktop/attrition_analysis/2000/07/18/www.dskif.dk/index1.html,2000-07-18,www.dskif.dk/,dk,Dansk Skiforbund,[],dansk skiforbund,dansk skiforbund,['dansk skiforbund']
1174,1174,1174,/home/michael/Desktop/attrition_analysis/2000/07/18/www.dskif.dk/index.html,2000-07-18,www.dskif.dk/,dk,"EL Pulpo Hacker Strike Again !!! QUIENES SOMOS: El Pulpo Hacker es solo un Argentino más POR QUE LOS HACKERS PONEN FOTOS O DIBUJOS PARA ASUSTAR? Ni idea POR QUE NO HAY HACKERS HINCHAS DE BOCA JUNIOR? Porque sus computadoras Apestan CUAL ES EL SIGNIFICADO FILOSOFICO DE HACKEAR UN SERVIDOR WEB? Ni idea PROPOSITO DE ESTE HACKEO? Bueno, por el momento me gustaría quejarme por: La falta de una tarifa plana telefonica para el 0610 El elevado costo de los peajes. El elevado costo de los combustibles. Los Impuestos tanto provinciales como municipales y gubernamentales. El elevado costo de los servicios (Agua, Luz, Gas y Teléfono) Para ver la página original",['index1.html'],el pulpo hacker strike quienes somos el pulpo hacker es solo un argentino más por que los hackers ponen fotos dibujos para asustar ni idea por que hay hackers hinchas de boca junior porque sus computadoras apestan cual es el significado filosofico de hackear un servidor web ni idea proposito de este hackeo bueno por el momento gustaría quejarme por la falta de una tarifa plana telefonica para el  el elevado costo de los peajes el elevado costo de los combustibles los impuestos tanto provinciales como municipales gubernamentales el elevado costo de los servicios agua luz gas teléfono para ver la página original,"el pulpo hacker strike again !!! quienes somos: el pulpo hacker es solo un argentino más por que los hackers ponen fotos o dibujos para asustar? ni idea por que no hay hackers hinchas de boca junior? porque sus computadoras apestan cual es el significado filosofico de hackear un servidor web? ni idea proposito de este hackeo? bueno, por el momento me gustaría quejarme por: la falta de una tarifa plana telefonica para el 0610 el elevado costo de los peajes. el elevado costo de los combustibles. los impuestos tanto provinciales como municipales y gubernamentales. el elevado costo de los servicios (agua, luz, gas y teléfono) para ver la página original","['quienes somos', 'el pulpo hacker', 'un argentino más por que los hackers ponen fotos o', 'dibujos para asustar', 'boca junior', 'sus computadoras apestan cual es el', 'filosofico de hackear', 'un', 'proposito de este hackeo', 'bueno', 'por el momento', 'gustaría quejarme', 'tarifa', 'el 0610', 'el elevado costo de los peajes', 'el elevado costo de los', 'los impuestos tanto provinciales como municipales y gubernamentales', 'el elevado costo de los', 'agua', 'luz', 'para ver la página']"
1178,1178,1178,/home/michael/Desktop/attrition_analysis/2000/07/18/www.digisigner.dk/index1.html,2000-07-18,www.digisigner.dk/,dk,digi2,[],,digi2,['digi2']
1179,1179,1179,/home/michael/Desktop/attrition_analysis/2000/07/18/www.digisigner.dk/index.html,2000-07-18,www.digisigner.dk/,dk,"EL Pulpo Hacker Strike Again !!! QUIENES SOMOS: El Pulpo Hacker es solo un Argentino más POR QUE LOS HACKERS PONEN FOTOS O DIBUJOS PARA ASUSTAR? Ni idea POR QUE NO HAY HACKERS HINCHAS DE BOCA JUNIOR? Porque sus computadoras Apestan CUAL ES EL SIGNIFICADO FILOSOFICO DE HACKEAR UN SERVIDOR WEB? Ni idea PROPOSITO DE ESTE HACKEO? Bueno, por el momento me gustaría quejarme por: La falta de una tarifa plana telefonica para el 0610 El elevado costo de los peajes. El elevado costo de los combustibles. Los Impuestos tanto provinciales como municipales y gubernamentales. El elevado costo de los servicios (Agua, Luz, Gas y Teléfono) Para ver la página original",['index1.html'],el pulpo hacker strike quienes somos el pulpo hacker es solo un argentino más por que los hackers ponen fotos dibujos para asustar ni idea por que hay hackers hinchas de boca junior porque sus computadoras apestan cual es el significado filosofico de hackear un servidor web ni idea proposito de este hackeo bueno por el momento gustaría quejarme por la falta de una tarifa plana telefonica para el  el elevado costo de los peajes el elevado costo de los combustibles los impuestos tanto provinciales como municipales gubernamentales el elevado costo de los servicios agua luz gas teléfono para ver la página original,"el pulpo hacker strike again !!! quienes somos: el pulpo hacker es solo un argentino más por que los hackers ponen fotos o dibujos para asustar? ni idea por que no hay hackers hinchas de boca junior? porque sus computadoras apestan cual es el significado filosofico de hackear un servidor web? ni idea proposito de este hackeo? bueno, por el momento me gustaría quejarme por: la falta de una tarifa plana telefonica para el 0610 el elevado costo de los peajes. el elevado costo de los combustibles. los impuestos tanto provinciales como municipales y gubernamentales. el elevado costo de los servicios (agua, luz, gas y teléfono) para ver la página original","['quienes somos', 'el pulpo hacker', 'un argentino más por que los hackers ponen fotos o', 'dibujos para asustar', 'boca junior', 'sus computadoras apestan cual es el', 'filosofico de hackear', 'un', 'proposito de este hackeo', 'bueno', 'por el momento', 'gustaría quejarme', 'tarifa', 'el 0610', 'el elevado costo de los peajes', 'el elevado costo de los', 'los impuestos tanto provinciales como municipales y gubernamentales', 'el elevado costo de los', 'agua', 'luz', 'para ver la página']"
1516,1516,1516,/home/michael/Desktop/attrition_analysis/2000/04/23/www.wild-life.dk/oldindex.html,2000-04-23,www.wild-life.dk/,dk,Velkommen,['kurser/Sider/index1.htm'],velkommen,velkommen,[]
1517,1517,1517,/home/michael/Desktop/attrition_analysis/2000/04/23/www.wild-life.dk/index.html,2000-04-23,www.wild-life.dk/,dk,You fools!!! Fight the Euro,[],fools fight euro,you fools!!! fight the euro,[]
1555,1555,1555,/home/michael/Desktop/attrition_analysis/2000/04/21/www.wild-life.dk/index.html,2000-04-21,www.wild-life.dk/,dk,"No shouts or greets to no one An excellent double negative there :-) Sorry guys about this poorness, but I just couldn't resist PartisanX        %-] okay, okay! hey all you alt.phk'rs",[],shouts greets one excellent double negative sorry guys poorness couldnt resist partisanx okay okay hey altphkrs,"no shouts or greets to no one an excellent double negative there :-) sorry guys about this poorness, but i just couldn't resist partisanx        %-] okay, okay! hey all you alt.phk'rs",[]
1690,1690,1690,/home/michael/Desktop/attrition_analysis/2000/04/30/www.susaa.dk/index.html,2000-04-30,www.susaa.dk/,dk,Hacked By McM4nus,[],hacked ,hacked by mcm4nus,[]
2177,2177,2177,/home/michael/Desktop/attrition_analysis/2000/08/07/www.dea-ccat.dk/index.html,2000-08-07,www.dea-ccat.dk/,dk,Brasil Rules 0wn3d by McM4nus.........total unsafe system.........mcm4nus@programmer.net,[],brasil rules   unsafe ,brasil rules 0wn3d by mcm4nus.........total unsafe system.........mcm4nus@programmer.net,['0wn3d']
2572,2572,2572,/home/michael/Desktop/attrition_analysis/2000/08/31/www.hilhan.dk/index.html,2000-08-31,www.hilhan.dk/,dk,-r3w7h4w -d1s- g0tch00 all 1n ch3ck-Ok Enough with the r337 number typing-lets get down to business-many rappers have been dying in the past years-and to my concern it has overlooked the most talented black male rapper of all time-BIG L-i just wanna use this time to wish him the best and pray that he is in a better place-RIP Flamboyant For Life-Nothing was harmed-dis-,[],     enough  number typinglets get businessmany rappers dying past yearsand concern overlooked talented black male rapper timebig li wanna time wish best pray better placerip flamboyant lifenothing harmeddis,-r3w7h4w -d1s- g0tch00 all 1n ch3ck-ok enough with the r337 number typing-lets get down to business-many rappers have been dying in the past years-and to my concern it has overlooked the most talented black male rapper of all time-big l-i just wanna use this time to wish him the best and pray that he is in a better place-rip flamboyant for life-nothing was harmed-dis-,"['1n', 'the past years']"
3021,3021,3021,/home/michael/Desktop/attrition_analysis/2000/03/30/www.sevent.dk/index.html,2000-03-30,www.sevent.dk/,dk,"Clientel Ownz This Server as of 3/30/2000 No Security is our philosophy and it has been since 1984. Fuck all you rich preps who
            swear u are better than everyone. You have a fucking inferiority complex. Fuck all u
            faggots that think like that. A Few words from Clientel- School Sucks, Tina is the most
            beautiful girl, Dee is a hottee, Tania and Sonia are cool, Nicole is beautiful, BreakDance
            Ownz, Tom Green Rulez, BaDD_aLaN kicks ass, SugarKing is a BadAss Mofo, and I'm sorry Tina
            and Dee. Shoutz: Krissy, Mystical Pimp, Espi0nage, Sameth, Sam0nn and h20, Ph33r the b33r, N30,
            and [Morph] for the BadAss GFX. Original index.htm is in backup.htm, and sploit patched. Mail me bbkallday@hotmail.com Hot news Clientel Hacked this Site --hahhahahhahaha E-Mail: with
            anything including any GFX, and if i use your GFX on a deface i will shout to you for a
            leeto GFX. © Copyright Clientel, 2000. All Rights Reserved.","['news8.htm', 'part/corner.htm', 'faq/faq32_hhk.asp', 'mailto:bbkallday@hotmail.com', 'mailto:bbkallday@hotmail.com', 'http://www.licenergy.com', 'http://packetstorm.securify.com', 'http://www.attrition.org']",clientel ownz server  security philosophy since  fuck rich preps swear u better everyone fucking inferiority complex fuck u faggots think like words clientel school sucks tina beautiful girl dee hottee tania sonia cool nicole beautiful breakdance ownz tom green rulez baddalan kicks ass sugarking badass mofo sorry tina dee shoutz krissy mystical pimp  sameth      morph badass gfx original indexhtm backuphtm sploit patched mail bbkalldayhotmailcom hot news clientel hacked site hahhahahhahaha email anything including gfx gfx deface shout leeto gfx © copyright clientel  rights reserved,"clientel ownz this server as of 3/30/2000 no security is our philosophy and it has been since 1984. fuck all you rich preps who
            swear u are better than everyone. you have a fucking inferiority complex. fuck all u
            faggots that think like that. a few words from clientel- school sucks, tina is the most
            beautiful girl, dee is a hottee, tania and sonia are cool, nicole is beautiful, breakdance
            ownz, tom green rulez, badd_alan kicks ass, sugarking is a badass mofo, and i'm sorry tina
            and dee. shoutz: krissy, mystical pimp, espi0nage, sameth, sam0nn and h20, ph33r the b33r, n30,
            and [morph] for the badass gfx. original index.htm is in backup.htm, and sploit patched. mail me bbkallday@hotmail.com hot news clientel hacked this site --hahhahahhahaha e-mail: with
            anything including any gfx, and if i use your gfx on a deface i will shout to you for a
            leeto gfx. © copyright clientel, 2000. all rights reserved.","['clientel', 'ownz', '3/30/2000', '1984', 'sonia', 'tom green rulez', 'dee. shoutz', 'b33r', 'sploit', 'clientel', 'clientel', '2000']"
3332,3332,3332,/home/michael/Desktop/attrition_analysis/2000/03/10/www.hrs.dk/index.html,2000-03-10,www.hrs.dk/,dk,"Hotel- og Restaurantskolen This page uses frames, but your browser doesn't support them.",[],hotel og restaurantskolen page uses frames browser doesnt support,"hotel- og restaurantskolen this page uses frames, but your browser doesn't support them.",[]
3335,3335,3335,/home/michael/Desktop/attrition_analysis/2000/03/10/www.dmamusic.dk/index.html,2000-03-10,www.dmamusic.dk/,dk,BrAzIl RuLez Sem mais bjus e abraços.... Agradecimentos especiais ao admin deste site... Falow,['mailto:ragawar@mail.ru'],brazil rulez sem mais bjus e abraços agradecimentos especiais ao admin deste site falow,brazil rulez sem mais bjus e abraços.... agradecimentos especiais ao admin deste site... falow,"['brazil', 'rulez sem mais', 'bjus', 'abraços', 'agradecimentos especiais ao admin']"
3495,3495,3495,/home/michael/Desktop/attrition_analysis/2000/05/07/www.fanet.dk/index.html,2000-05-07,www.fanet.dk/,dk,"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- HaCKeD By R.o.D CReW -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- H0sT_L0sT WaS HeRe ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ GoD_oF_RaGe WaS HeRe Too --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- aND Me PeT_KiLLeR Too ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- TaNKz ------------------------------------------------------------------------ Thunder_Gold, dexter07, HELLBRASIL, hackernews.com.br, attrition.org, safemode.org, insanityzine.org ---------------------------------------------- #Hacker2k, Minha Namorada, MiCR0S0FT, Bill Gates ------------------------------------ aND.... ToD0S aQueLeS Que Me aJuDaRaM a CHeGaR aQui (iNCLuSiVe o BiLL GaTeS CoM SeuS PRoGz) ----- eoF... LeiTao aND CRiMe BoyS",[],hacked rod crew  godofrage petkiller tankz thundergold  hellbrasil hackernewscombr attritionorg safemodeorg insanityzineorg  minha namorada  bill gates  aqueles que ajudaram chegar aqui inclusive bill gates seus progz eof leitao crime boys,"--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- hacked by r.o.d crew -------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- h0st_l0st was here ------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------ god_of_rage was here too --------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- and me pet_killer too ---------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------- tankz ------------------------------------------------------------------------ thunder_gold, dexter07, hellbrasil, hackernews.com.br, attrition.org, safemode.org, insanityzine.org ---------------------------------------------- #hacker2k, minha namorada, micr0s0ft, bill gates ------------------------------------ and.... tod0s aqueles que me ajudaram a chegar aqui (inclusive o bill gates com seus progz) ----- eof... leitao and crime boys","['hellbrasil', 'minha namorada', 'bill gates', 'ajudaram', 'chegar aqui', 'seus progz', 'eof', 'leitao']"
3712,3712,3712,/home/michael/Desktop/attrition_analysis/2000/05/01/www.egtved.dk/index.html,2000-05-01,www.egtved.dk/,dk,Hacked<_>McM4nus Death to the Pigs: FHC e PITTA Sorry Admin,[], death pigs fhc e pitta sorry admin,hacked<_>mcm4nus death to the pigs: fhc e pitta sorry admin,['hacked<_>mcm4nus']
